Date,Box Office,,,,,,
2017/4/27,"$151,101,803 ",,,,,,
2017/4/20,"$150,959,530 ",,,,,,
2017/4/13,"$150,780,838 ",,,,,,
2017/4/6,"$150,524,056 ",,,,,,
2017/3/30,"$150,326,591 ",,,,,,
2017/3/30,"$150,033,687 ",,,,,,
2017/3/16,"$149,234,184 ",,,,,,
2017/3/9,"$146,675,589 ",,,,,,
2017/3/2,"$142,709,362 ",,,,,,
2017/2/23,"$136,260,065 ",,,,,,
2017/2/16,"$129,004,066 ",,,,,,
2017/2/9,"$121,010,345 ",,,,,,
2017/2/2,"$110,856,924 ",,,,,,
2017/1/26,"$94,459,372 ",,,,,,
2017/1/19,"$81,330,497 ",,,,,,
2017/1/12,"$59,581,569 ",,,,,,
2017/1/5,"$41,656,587 ",,,,,,
2016/12/29,"$24,715,199 ",,,,,,
2016/12/22,"$7,882,711 ",,,,,,
2016/12/15,"$1,240,166 ",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,